name,state,region,city,latitude,longitude,cuisine,stars,min_price_EUR,max_price_EUR,url,foursquare_id,foursquare_name,foursquare_address
Hashiri,United States of America,California,San Francisco,37.783062,-122.40754,Japanese,1,67,135,https://guide.michelin.com/us/en/california/san-francisco/restaurant/hashiri,56bfe66fcd105e26347988c6,Hashiri,4 Mint Plz
Angler,United States of America,California,San Francisco,37.793167,-122.39213,Contemporary,1,41,87,https://guide.michelin.com/us/en/california/san-francisco/restaurant/angler,5b99a238419a9e002cae8074,Angler,132 The Embarcadero (Mission)
Rich Table,United States of America,California,San Francisco,37.774914,-122.42271,Contemporary,1,45,67,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rich-table,500088f7d63e64b62bc19e6e,Rich Table,199 Gough St (at Oak St)
Kin Khao,United States of America,California,San Francisco,37.785267,-122.40951,Thai,1,22,45,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kin-khao,52e20b3311d241e331b41f31,Kin Khao,55 Cyril Magnin St (Ellis St)
Michael Mina,United States of America,California,San Francisco,37.79349000000001,-122.399574,Contemporary,1,67,135,https://guide.michelin.com/us/en/california/san-francisco/restaurant/michael-mina,4cae131abf70236aa86305f9,Michael Mina,252 California St (at Battery)
Sons & Daughters,United States of America,California,San Francisco,37.79037,-122.40917,Contemporary,1,67,135,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sons-daughters,4c09b60c340720a11f5b8593,Sons & Daughters,708 Bush St
Mister Jiu's,United States of America,California,San Francisco,37.79371,-122.406654,Chinese,1,45,67,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mister-jius,56f2092e498eac8f5f0799c8,Mister Jiu's,28 Waverly Pl.
Nico,United States of America,California,San Francisco,37.795803,-122.40333,Contemporary,1,45,67,https://guide.michelin.com/us/en/california/san-francisco/restaurant/nico,5aecc55667e5f2002c8a87a8,Nico,710 Montgomery St
jū-ni,United States of America,California,San Francisco,37.77672000000001,-122.43886,Japanese,1,67,135,https://guide.michelin.com/us/en/california/san-francisco/restaurant/ju-ni,56c91c06cd10c17322711665,jū-ni,1335 Fulton St (at Divisadero St)
Keiko à Nob Hill,United States of America,California,San Francisco,37.793106,-122.41445,Fusion,1,67,135,https://guide.michelin.com/us/en/california/san-francisco/restaurant/keiko-a-nob-hill,4ebacbf2108192bf75c5b0ba,Keiko à Nob Hill,1250 Jones St (btwn Clay & Sacramento)
The Progress,United States of America,California,San Francisco,37.78371,-122.43282,Californian,1,45,67,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-progress,548b976b498e8beca9ac6641,The Progress,1525 Fillmore St (btwn O'Farrell St & Geary Blvd)
State Bird Provisions,United States of America,California,San Francisco,37.783737,-122.43283,American,1,22,45,https://guide.michelin.com/us/en/california/san-francisco/restaurant/state-bird-provisions,4ef52a378231b0d6238dd471,State Bird Provisions,1529 Fillmore St (btwn Geary & O'Farrell St)
Octavia,United States of America,California,San Francisco,37.787857,-122.42709,Californian,1,45,67,https://guide.michelin.com/us/en/california/san-francisco/restaurant/octavia,4c810d0051ada1cd24db0e10,Octavia Haight,1701 Octavia St (Bush St)
SPQR,United States of America,California,San Francisco,37.78732,-122.43375,Italian,1,45,67,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spqr,4744d11ff964a520854c1fe3,SPQR,1911 Fillmore St (btwn Bush & Pine St)
Lord Stanley,United States of America,California,San Francisco,37.79592,-122.42208,Californian,1,45,67,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lord-stanley,5579d160498ec78aba4bf23d,Lord Stanley,2065 Polk St (Broadway)
Kinjo,United States of America,California,San Francisco,37.79699,-122.422005,Japanese,1,67,135,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kinjo,588581714bafb766c2fe31c1,Kinjo,2206 Polk St
Sorrel,United States of America,California,San Francisco,37.788334000000006,-122.44614,Californian,1,52,110,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sorrel,5ad0ca19d552c75bbca2a9fa,Sorrel,3228 Sacramento St
Gary Danko,United States of America,California,San Francisco,37.80599,-122.42066,Contemporary,1,67,135,https://guide.michelin.com/us/en/california/san-francisco/restaurant/gary-danko,3fd66200f964a52025ee1ee3,Gary Danko,800 North Pt (at Hyde St)
Bar Crenn,United States of America,California,San Francisco,37.798435,-122.43581,French,1,45,67,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bar-crenn,5a9a0f784c9be67f05b782aa,Bar Crenn,3131 Fillmore St
Spruce,United States of America,California,San Francisco,37.78772,-122.45264,Californian,1,45,67,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spruce,4a64a8f4f964a5206cc61fe3,Spruce,3640 Sacramento St (btwn Spruce & Locust St)
Wako,United States of America,California,San Francisco,37.783035,-122.461525,Japanese,1,67,135,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wako,53893dea498ef911b521951c,Wako,211 Clement St (at 3rd Ave)
Madcap,United States of America,California,San Francisco,37.974712,-122.56168,Contemporary,1,67,135,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madcap,59a04e5d25fb7b660c20f93b,Madcap,198 Sir Francis Drake Blvd
Aubergine,United States of America,California,Monterey,36.55406,-121.924355,Contemporary,1,67,135,https://guide.michelin.com/us/en/california/monterey/restaurant/aubergine,59b3f351cf72a07b78e73680,Aubergine at L'Auberge Carmel,Monte Verde & 7th Ave.
Kenzo,United States of America,California,San Francisco,38.29924000000001,-122.28928,Japanese,1,67,135,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kenzo,582ea64a9398ab3e7ca7ba4c,Kenzo,1339 Pearl St
La Toque,United States of America,California,San Francisco,38.30351,-122.28349,Contemporary,1,67,135,https://guide.michelin.com/us/en/california/san-francisco/restaurant/la-toque,4bd11413462cb71320c8d907,La Toque Restaurant,The Westin Verasa Napa (1314 McKinstry St)
Bouchon,United States of America,California,San Francisco,38.40258,-122.3619,French,1,45,67,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bouchon,453f5b78f964a520333c1fe3,Bouchon Bakery,6528 Washington St
Auberge du Soleil,United States of America,California,San Francisco,38.49199,-122.40534,Californian,1,67,135,https://guide.michelin.com/us/en/california/san-francisco/restaurant/auberge-du-soleil,4a760098f964a520ebe11fe3,Auberge du Soleil,180 Rutherford Hill Rd. (Silverado Trail)
Farmhouse Inn & Restaurant,United States of America,California,San Francisco,38.49039000000001,-122.8835,Californian,1,67,135,https://guide.michelin.com/us/en/california/san-francisco/restaurant/farmhouse-inn-restaurant,4b23127bf964a520f15224e3,Farmhouse Inn Restaurant,7871 River Rd
The Kitchen,United States of America,California,Sacramento,38.58894,-121.41424,Contemporary,1,48,185,https://guide.michelin.com/us/en/california/us-sacramento/restaurant/the-kitchen559371,4b0586b4f964a520906a22e3,The Kitchen,2225 Hurley Way (at Howe Ave)
Madrona Manor,United States of America,California,San Francisco,38.60428,-122.88647,Contemporary,1,67,135,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madrona-manor,4a7e966ef964a52006f21fe3,Madrona Manor,1001 Westside Rd
Harbor House,United States of America,California,San Francisco,39.135876,-123.719444,Californian,1,67,135,https://guide.michelin.com/us/en/california/san-francisco/restaurant/harbor-house,4bc3b2ccdce4eee14bb7719d,Harbor House Inn,5600 S Highway 1
Shin Sushi,United States of America,California,Los Angeles,34.15784,-118.49415,Japanese,1,45,67,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shin-sushi,5b7ccb501f8ed6002c9a0110,Shin Sushi,16573 Ventura Bl
Rustic Canyon,United States of America,California,Los Angeles,34.024952,-118.49118,Californian,1,45,67,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/rustic-canyon,459d1658f964a520a3401fe3,Rustic Canyon Wine Bar,1119 Wilshire Blvd (at 11th Ct.)
Dialogue,United States of America,California,Los Angeles,34.01679,-118.49748,Contemporary,1,67,135,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/dialogue,59b0ba92872f7d5434834dcd,Dialogue,1315 3rd Street Promenade (Arizona)
Kato,United States of America,California,Los Angeles,34.041683,-118.460915,Asian,1,45,67,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kato,577872b3498e673c10e85953,Kato,11925 Santa Monica Blvd (Brockton)
CUT,United States of America,California,Los Angeles,34.067036,-118.401024,Steakhouse,1,67,135,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/cut559418,4ace2d76f964a520ddce20e3,CUT by Wolfgang Puck,"9500 Wilshire Blvd ((at the Beverly Wilshire, A Four Seasons Hotel))"
Nozawa Bar,United States of America,California,Los Angeles,34.0683,-118.39849,Japanese,1,67,135,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/nozawa-bar,5165ed9ce4b05a8c0aac6be7,Nozawa Bar,212 N Canon Dr
Shunji,United States of America,California,Los Angeles,34.028496000000004,-118.45195,Japanese,1,67,135,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shunji,4f728045e4b043e3bbad9301,Shunji Japanese Cuisine,12244 W Pico Blvd (at Bundy Dr)
Maude,United States of America,California,Los Angeles,34.064346,-118.39904,Contemporary,1,67,135,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/maude,52d62c5a11d26ef0c0cd538c,Maude,212 S Beverly Dr (at Wilshire Blvd)
Mori Sushi,United States of America,California,Los Angeles,34.033398,-118.44229,Japanese,1,67,135,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/mori-sushi,4aea509df964a520faba21e3,Mori Sushi,11500 W Pico Blvd (at Gateway)
Trois Mec,United States of America,California,Los Angeles,34.084255,-118.33851,Contemporary,1,67,135,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/trois-mec,5ca30374d8096e002cf9f396,Trois Mec,"716 N Highland Ave,Los Angeles, CA 90038, USA"
Osteria Mozza,United States of America,California,Los Angeles,34.083420000000004,-118.338974,Italian,1,45,67,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/osteria-mozza,4a5793a4f964a52061b61fe3,Osteria Mozza,6602 Melrose Ave (at Highland Ave)
Kali,United States of America,California,Los Angeles,34.083443,-118.32455,Californian,1,45,67,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kali,56aae7be38faad44541ec9b0,KALI Restaurant,5722 Melrose Ave
Le Comptoir,United States of America,California,Los Angeles,34.06354,-118.30057,Californian,1,67,135,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir,549f85c3498ed981aae62376,Le Comptoir at the Hotel Normandie,3606 W 6th St (Normandie)
Q Sushi,United States of America,California,Los Angeles,34.046883,-118.255844,Japanese,1,67,135,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi,528809d1498e9104e77d4ebb,Q Sushi,521 W 7th St (btwn Grand & Olive St)
Shibumi,United States of America,California,Los Angeles,34.044155,-118.256134,Japanese,1,67,135,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shibumi559644,575850fd498eb908d0cd44d6,Shibumi,815 S Hill St
Hayato,United States of America,California,Los Angeles,34.03311,-118.24265,Japanese,1,67,135,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato,5a8348f6c62b4930ba732ee6,Hayato,1320 E 7th St #126
Bistro Na's,United States of America,California,Los Angeles,34.104412,-118.07159,Chinese,1,22,45,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/bistro-na-s,5837a9da2a19825c06af55f4,Bistro Na's,"Temple City, CA 91780"
Orsa & Winston,United States of America,California,Los Angeles,33.92145,-118.275406,Fusion,1,67,135,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/orsa-winston,5244eb60498e4ebe7b0d20d8,Orsa & Winston,122 W 4th St (btwn S Main & S Spring St)
Taco María,United States of America,California,Costa Mesa,33.69475,-117.924965,Mexican,1,45,67,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/taco-maria,4ec8113f93ad41338d8f409e,Taco Maria,3313 Hyland Ave (Sunflower Avenue)
Hana re,United States of America,California,Costa Mesa,33.67759,-117.886566,Japanese,1,67,135,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/hana-re,563c1b48cd1025403a8f501d,hana ré,2930 Bristol St
Addison,United States of America,California,San Diego,32.939903,-117.20013,Contemporary,1,67,135,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison,4b67a98ef964a520035a2be3,Addison,5200 Grand del Mar Way (at Del Mar Meadows Road)
